ProductionID,Location,Production_KWh,Month,Year,LocationID
P001,Porterside,51606,February,2025,L0690
P002,Donaldfurt,91145,December,2021,L0112
P003,Leslieborough,55035,March,2019,L0392
P004,Smithport,7613,April,2021,L0746
P005,Sherriton,65399,May,2021,L0739
P006,East Mollychester,20087,April,2021,L0167
P007,Jonesland,88528,August,2024,L0289
P008,New Christina,26849,July,2011,L0460
P009,Taylorport,89398,June,2021,L0838
P010,Cowanmouth,68794,March,2024,L0085
P011,Lake Richard,69605,June,2012,L0370
P012,New Caseyland,27624,June,2023,L0457
P013,Calhounland,83620,September,2019,L0058
P014,South Matthewberg,44166,April,2022,L0792
P015,Cordovashire,76294,March,2013,L0081
P016,East Joditon,46707,October,2011,L0146
P017,Cynthiaton,11930,September,2013,L0090
P018,East Kayla,70107,December,2016,L0152
P019,Matthewfurt,18042,January,2016,L0412
P020,Brittneyland,21411,November,2014,L0049
P021,New Petermouth,78116,November,2023,L0493
P022,Johnsonfurt,68243,December,2017,L0282
P023,North Nancy,78854,June,2012,L0566
P024,Jenniferton,32318,July,2021,L0274
P025,Port Lesliechester,13634,March,2013,L0659
P026,Meaganton,62386,June,2020,L0420
P027,Michaelmouth,67098,August,2020,L0425
P028,Port Ryanshire,47435,March,2011,L0678
P029,Port Mason,52192,January,2025,L0661
P030,Tateville,85040,May,2012,L0835
P031,New Victoriahaven,83189,September,2014,L0506
P032,Lake Victor,40304,February,2010,L0385
P033,East Teresa,27145,April,2019,L0179
P034,Connorfort,18327,December,2022,L0079
P035,Samuelfurt,28924,March,2015,L0724
P036,South Edwin,37398,January,2016,L0770
P037,East Donaldshire,14171,December,2024,L0134
P038,South Rodney,12307,September,2011,L0801
P039,Hillshire,3836,August,2019,L0243
P040,Jeffreyport,95609,October,2016,L0270
P041,Farrellberg,12459,March,2010,L0197
P042,East Maryville,16198,April,2015,L0161
P043,South Cathyview,16693,March,2010,L0761
P044,Ambermouth,58073,December,2021,L0011
P045,West Megan,19644,January,2023,L0928
P046,Ryanhaven,89349,February,2011,L0722
P047,Susanshire,27782,March,2020,L0829
P048,Johnport,60821,February,2018,L0280
P049,Jameshaven,68103,September,2024,L0258
P050,Maryview,8293,January,2025,L0410
P051,Nelsonfurt,79810,June,2013,L0443
P052,East Sandraton,95708,May,2023,L0173
P053,Stephenstad,8947,June,2012,L0822
P054,Gonzaleztown,32704,December,2021,L0216
P055,Warrentown,42648,September,2012,L0876
P056,South Veronicamouth,96747,December,2014,L0816
P057,Josephton,81206,November,2017,L0293
P058,Port Anthony,77477,November,2025,L0614
P059,Lake Cody,51542,May,2018,L0330
P060,North Amber,95781,December,2021,L0514
P061,Lake Danielle,32305,May,2016,L0332
P062,Cameronbury,83213,October,2021,L0059
P063,Walshberg,4319,April,2011,L0872
P064,New Lisa,74220,March,2015,L0480
P065,Port Alexanderburgh,42965,December,2014,L0606
P066,Port Allisonshire,79272,December,2015,L0607
P067,West Whitney,78706,October,2024,L0953
P068,Harrisburgh,11769,May,2010,L0232
P069,North Stephaniemouth,82352,January,2016,L0577
P070,Lake David,78333,September,2010,L0334
P071,Hallhaven,91403,July,2012,L0227
P072,Sarahfort,77479,July,2010,L0729
P073,South Preston,88535,June,2013,L0800
P074,West Meghanburgh,44682,November,2022,L0929
P075,Kellyview,30833,July,2012,L0311
P076,Lake Jenny,11037,February,2023,L0342
P077,Taraton,79669,September,2019,L0834
P078,Elizabethfort,41145,December,2017,L0186
P079,Aliciamouth,84721,December,2022,L0006
P080,Leachburgh,25767,October,2021,L0391
P081,Port Ericshire,67333,October,2018,L0630
P082,Palmerberg,93033,February,2014,L0586
P083,Lauraberg,27980,September,2012,L0388
P084,Jameshaven,35236,March,2010,L0258
P085,North Angelchester,78028,March,2024,L0518
P086,Robertston,79725,December,2015,L0710
P087,Mccannhaven,73375,February,2010,L0416
P088,Hancockmouth,1591,July,2013,L0229
P089,Mcintyrehaven,71475,February,2017,L0418
P090,Port Brad,85790,November,2024,L0616
P091,Dennisside,95871,November,2018,L0105
P092,West Shawnhaven,57009,January,2010,L0943
P093,Deborahton,81016,September,2022,L0104
P094,Paulberg,16439,December,2022,L0591
P095,West Scottberg,54536,February,2024,L0941
P096,New Timothyport,16810,September,2015,L0504
P097,Matthewburgh,21126,August,2025,L0411
P098,East Stephen,41064,May,2013,L0176
P099,Melissachester,68680,October,2014,L0422
P100,Dustinview,84309,July,2024,L0119
P101,Port Kelliside,21820,March,2018,L0651
P102,Brendaview,56305,May,2022,L0043
P103,North Kellyhaven,77702,March,2014,L0555
P104,Lake Amandaport,3239,May,2018,L0320
P105,Whiteport,46673,August,2023,L0956
P106,Lake Kathrynborough,33409,April,2014,L0351
P107,Lake Jeremy,29966,April,2024,L0344
P108,Port Andrewshire,8469,February,2020,L0613
P109,Stevensburgh,10074,April,2022,L0824
P110,Thompsonchester,82693,October,2010,L0845
P111,Rodriguezborough,67381,October,2023,L0714
P112,Juanton,78719,March,2014,L0297
P113,Robertsonside,27203,April,2017,L0709
P114,Kristenshire,65568,June,2012,L0319
P115,North Jamesfurt,55444,April,2016,L0542
P116,Murphyborough,43075,November,2013,L0439
P117,Lake Eric,60175,June,2020,L0339
P118,New Nataliemouth,34998,November,2023,L0490
P119,Marshshire,47471,September,2013,L0405
P120,Kimberlyside,1440,April,2019,L0316
P121,Prattberg,93530,June,2011,L0692
P122,Michellefort,77665,July,2022,L0426
P123,Tracymouth,63546,June,2023,L0854
P124,Riveraland,85838,April,2021,L0704
P125,Craigberg,18469,November,2018,L0086
P126,West Franklin,52162,November,2019,L0904
P127,Griffinfurt,20283,August,2014,L0222
P128,New Adam,67171,April,2013,L0444
P129,North Rogerview,87138,July,2014,L0572
P130,Robertsonside,33615,October,2017,L0709
P131,Evansburgh,21157,November,2022,L0193
P132,Nicolechester,32572,June,2010,L0510
P133,West James,68972,July,2012,L0907
P134,Port Christopherport,74562,October,2018,L0622
P135,Port Paulshire,8042,February,2024,L0672
P136,Clarkchester,64854,April,2024,L0073
P137,Leslieshire,46895,August,2015,L0393
P138,Olsonborough,12527,February,2022,L0584
P139,Watsonchester,87199,November,2021,L0877
P140,Port Ronald,62332,August,2018,L0676
P141,West Amanda,69663,November,2014,L0883
P142,Kellermouth,86596,September,2011,L0310
P143,North Lonnie,62174,November,2018,L0561
P144,Cruzton,85346,October,2024,L0087
P145,North Barrychester,57067,March,2025,L0523
P146,Port Ronaldfort,86082,November,2018,L0677
P147,Thompsonhaven,49648,October,2021,L0846
P148,Jessicaland,63719,August,2015,L0276
P149,Phillipsborough,68889,November,2018,L0601
P150,Terriville,95595,December,2019,L0840
P151,New Derrickside,14982,May,2022,L0465
P152,Paulmouth,42856,April,2014,L0592
P153,South Bryan,67780,April,2010,L0759
P154,South Laura,26728,April,2025,L0790
P155,South Timothy,86559,March,2011,L0813
P156,Darrellport,1923,December,2018,L0096
P157,Port Jeanfort,73736,January,2016,L0639
P158,East Michael,84369,March,2020,L0165
P159,East Lauren,36494,January,2022,L0155
P160,New Chelsea,62271,March,2023,L0459
P161,West Amberview,49560,October,2010,L0884
P162,Port Tiffany,79630,March,2012,L0683
P163,North Jenniferstad,85950,September,2020,L0546
P164,Petersonfort,3990,November,2015,L0597
P165,South Hunter,72270,April,2019,L0775
P166,Johnsontown,93426,December,2024,L0285
P167,Anthonyland,22907,September,2011,L0022
P168,New Laceyhaven,84917,December,2025,L0478
P169,Port Tommy,41837,September,2025,L0687
P170,Port Amanda,89968,May,2014,L0608
P171,Petersonside,81630,February,2017,L0598
P172,South Michelleside,84144,June,2021,L0796
P173,Vaughnstad,16860,November,2025,L0865
P174,Lake Johnfort,52091,March,2016,L0348
P175,Port Andrewfort,86378,December,2016,L0612
P176,Jasonland,28059,June,2015,L0267
P177,Thomasburgh,88702,April,2022,L0841
P178,Griffinhaven,28884,February,2019,L0223
P179,Whitneyside,17907,June,2014,L0958
P180,Chaveztown,11016,January,2025,L0069
P181,Dominiquemouth,88899,July,2021,L0110
P182,Bennetttown,22176,March,2024,L0032
P183,Angelicaberg,17531,July,2021,L0019
P184,Scottmouth,25923,September,2011,L0735
P185,Frostshire,18777,September,2020,L0205
P186,North Jasonton,59376,August,2019,L0544
P187,North Jaime,62227,December,2016,L0540
P188,New Scottville,70826,December,2017,L0498
P189,Evansfort,29130,June,2021,L0194
P190,Glennport,82409,July,2010,L0214
P191,Jeffreyville,39503,June,2018,L0271
P192,East Emmahaven,31590,February,2014,L0135
P193,North Jennifer,46071,January,2021,L0545
P194,Port Brandonberg,48574,October,2019,L0617
P195,Lake Ashley,18438,November,2021,L0323
P196,North Bruceborough,63736,May,2019,L0526
P197,Blackwellton,92012,November,2025,L0035
P198,Fullerton,14930,September,2017,L0206
P199,Williamchester,94629,April,2022,L0960
P200,Evansmouth,44493,August,2013,L0195
P201,Hughesside,57577,December,2011,L0251
P202,East Jillburgh,13192,October,2015,L0145
P203,Loganfurt,6174,June,2022,L0397
P204,Schwartzshire,50058,June,2023,L0734
P205,Vaughnburgh,68648,January,2024,L0864
P206,Andreaborough,47398,June,2012,L0017
P207,New Sherryside,1855,June,2020,L0499
P208,South Alexandraville,49862,February,2022,L0750
P209,East Carlville,25754,December,2011,L0131
P210,Deborahchester,94319,March,2010,L0103
P211,Port Andrew,48630,May,2016,L0611
P212,Port Randy,3475,July,2023,L0673
P213,Prattstad,5159,March,2015,L0693
P214,North Nicholaston,7521,December,2015,L0567
P215,North Allenchester,18536,May,2016,L0513
P216,Karenport,92477,December,2010,L0303
P217,East Paulberg,14899,January,2012,L0170
P218,Karentown,41088,June,2016,L0305
P219,Joshuaborough,47313,September,2010,L0294
P220,North Cheryl,67539,August,2014,L0528
P221,North Tracytown,85211,May,2014,L0581
P222,Edwardview,92462,August,2012,L0185
P223,Juanville,23783,February,2012,L0298
P224,Youngport,31728,February,2015,L0971
P225,Nicholsmouth,40344,May,2019,L0509
P226,South Tommy,47980,April,2012,L0815
P227,North Stephanieport,63673,May,2015,L0578
P228,West Sandraville,87909,November,2017,L0939
P229,Heidishire,12400,June,2018,L0237
P230,New Markville,79120,February,2013,L0483
P231,Everettstad,5923,May,2016,L0196
P232,Hinesstad,90741,October,2025,L0244
P233,Port Sabrinaview,42580,July,2014,L0679
P234,South Michaelland,78902,September,2019,L0794
P235,West Jessica,14395,July,2017,L0913
P236,Brianton,16124,June,2017,L0046
P237,Wareburgh,99526,November,2017,L0875
P238,West Jodiborough,58029,June,2013,L0914
P239,East Juan,10708,December,2013,L0148
P240,Margaretmouth,73959,January,2025,L0401
P241,East Gary,3791,February,2018,L0137
P242,Port Richard,10006,February,2011,L0675
P243,Ronaldport,28234,July,2013,L0718
P244,Port Rebecca,15870,August,2013,L0674
P245,Lake Teresa,64354,December,2022,L0381
P246,Bakermouth,57487,May,2014,L0029
P247,New Patricktown,76566,April,2020,L0492
P248,North Danielleview,54767,June,2011,L0530
P249,South Heatherton,89558,March,2013,L0774
P250,Millershire,15390,January,2025,L0428
P251,Patriciaberg,73407,May,2019,L0589
P252,New Anachester,67951,November,2020,L0448
P253,Limouth,49468,December,2020,L0394
P254,New Kristi,94440,February,2018,L0476
P255,Hardinfurt,24934,June,2023,L0231
P256,Lake Michael,8134,November,2010,L0361
P257,Paultown,31547,July,2015,L0593
P258,Hicksland,92733,November,2011,L0240
P259,Lake Daniellestad,42279,February,2023,L0333
P260,Charlesbury,16480,July,2014,L0065
P261,Port Connie,11194,December,2015,L0624
P262,North Ashleymouth,40459,September,2022,L0520
P263,Herringmouth,54174,December,2014,L0239
P264,Bishopville,59456,November,2014,L0034
P265,West Melissafurt,40778,January,2022,L0930
P266,South Stephenfurt,54710,January,2010,L0808
P267,Maryton,69786,October,2025,L0409
P268,East Amymouth,49650,June,2012,L0125
P269,South Amanda,27935,September,2013,L0752
P270,New Ashley,28825,July,2016,L0449
P271,Laurenhaven,67548,July,2017,L0389
P272,East Thomasville,48824,May,2014,L0180
P273,Michellemouth,58737,September,2023,L0427
P274,New Brittany,53623,April,2022,L0453
P275,South Michaelview,97506,April,2023,L0795
P276,Greenchester,32302,March,2018,L0220
P277,Jasonshire,57625,December,2017,L0268
P278,New Bruce,43577,November,2015,L0454
P279,Olsonbury,84776,November,2021,L0585
P280,Wisestad,65625,May,2015,L0963
P281,Andreaberg,72040,September,2017,L0016
P282,West Shawnfort,40315,December,2024,L0942
P283,North Stephaniebury,52341,August,2018,L0576
P284,Alexanderton,50913,April,2022,L0005
P285,Janicemouth,94839,March,2020,L0266
P286,East Joseside,93396,October,2016,L0147
P287,West Kevinshire,2052,June,2016,L0918
P288,Lake Stuart,91159,June,2019,L0379
P289,Jacksonstad,95176,September,2014,L0255
P290,Pamelaland,29342,September,2022,L0587
P291,Wrightchester,57804,August,2022,L0966
P292,Hamptonberg,83178,September,2019,L0228
P293,Robertshire,6289,August,2022,L0708
P294,Port Eric,57130,December,2017,L0629
P295,Karenfort,29432,August,2010,L0302
P296,Crystalbury,70432,March,2021,L0088
P297,Murrayburgh,31182,January,2025,L0441
P298,West Kristen,44091,August,2019,L0919
P299,Sherrytown,5912,July,2013,L0740
P300,Robertbury,80067,August,2020,L0705
P301,New Ashleyfort,41170,May,2012,L0450
P302,Port Thomas,23740,January,2010,L0682
P303,Port Mary,48759,June,2018,L0660
P304,Hallhaven,70345,December,2021,L0227
P305,South Amanda,7618,April,2016,L0752
P306,Michaelchester,65508,June,2017,L0424
P307,Emilyhaven,50323,October,2017,L0188
P308,Jamesview,48132,June,2025,L0262
P309,North Justin,19743,October,2021,L0553
P310,Wangstad,56789,February,2017,L0874
P311,Gordonborough,31976,May,2018,L0217
P312,New Derrickmouth,39823,August,2015,L0464
P313,Lake Thomas,17755,June,2025,L0382
P314,West Kristenmouth,67842,April,2023,L0921
P315,West Ginafort,45229,June,2025,L0905
P316,New Lori,35546,August,2014,L0481
P317,Audreyside,24145,October,2020,L0028
P318,Port Jimmybury,21276,November,2021,L0642
P319,Ramseymouth,97521,February,2011,L0696
P320,Dustinshire,21510,October,2016,L0118
P321,South Todd,48933,December,2015,L0814
P322,Debbiebury,43968,January,2016,L0102
P323,South Donnahaven,57846,September,2015,L0769
P324,New Tiffanyberg,80632,May,2025,L0503
P325,Vazquezside,5508,July,2015,L0866
P326,Gibsonberg,76199,December,2022,L0211
P327,New Albert,26258,July,2010,L0445
P328,West Jennifer,6023,June,2015,L0912
P329,Travisshire,74172,March,2013,L0857
P330,Lake Suzannebury,78368,April,2020,L0380
P331,South Sara,45956,April,2023,L0803
P332,Daniellechester,46849,January,2014,L0092
P333,Danielville,51011,May,2022,L0094
P334,Kramerland,19352,June,2010,L0318
P335,Lake Christine,14037,December,2015,L0329
P336,Joycechester,16971,June,2020,L0296
P337,Port Lauraton,24721,October,2024,L0658
P338,Espinozaborough,8899,May,2020,L0192
P339,New Mitchell,83739,December,2010,L0488
P340,East Krystalhaven,54525,September,2018,L0154
P341,Port Amberberg,97009,January,2020,L0609
P342,Larryfurt,76962,July,2025,L0387
P343,East Patrickville,89978,January,2017,L0169
P344,Marychester,78431,August,2015,L0408
P345,South Thomas,82302,January,2010,L0810
P346,New Michaelborough,16801,May,2025,L0487
P347,South Nancy,72364,June,2019,L0797
P348,Brownland,71605,May,2022,L0053
P349,South Tiffany,54497,March,2021,L0811
P350,Matthewtown,84157,November,2024,L0414
P351,Port Carlyhaven,47729,November,2025,L0619
P352,Brianview,53612,September,2010,L0047
P353,East Stephanieberg,6864,December,2012,L0175
P354,Heatherland,20892,March,2024,L0235
P355,New Robertshire,7303,October,2010,L0497
P356,North Eileen,36634,February,2023,L0531
P357,Port Zacharystad,77359,January,2010,L0689
P358,Brianville,4348,March,2014,L0048
P359,East Melissa,38399,November,2012,L0163
P360,Aprilmouth,26005,January,2019,L0025
P361,South Jonathan,8334,June,2013,L0784
P362,East Crystal,75761,March,2018,L0133
P363,Jamesville,13128,February,2011,L0263
P364,Braunstad,87688,December,2011,L0040
P365,Port Heather,30880,September,2024,L0634
P366,Peterton,30947,October,2019,L0599
P367,Lake Annamouth,84214,January,2017,L0322
P368,Alvarezview,94394,July,2012,L0008
P369,Lake Maryport,64916,September,2022,L0358
P370,Fowlershire,8148,November,2020,L0200
P371,Victoriafort,72344,June,2021,L0868
P372,Abigailfort,1790,December,2020,L0000
P373,Gonzalezland,97246,December,2020,L0215
P374,Floresbury,55386,April,2021,L0199
P375,Adamfurt,55278,December,2014,L0002
P376,Sabrinashire,56810,September,2013,L0723
P377,West Sarah,22014,August,2021,L0940
P378,Allenfort,69632,October,2010,L0007
P379,North Mario,5186,December,2023,L0562
P380,Hoopermouth,81664,June,2011,L0246
P381,Cynthiaside,7582,May,2024,L0089
P382,Kellerland,75775,February,2013,L0309
P383,Higginsfort,37427,May,2018,L0241
P384,Timothyport,38683,April,2023,L0850
P385,Wrighthaven,57021,April,2012,L0968
P386,Brendaburgh,37491,July,2013,L0041
P387,Jamiebury,45104,May,2018,L0264
P388,East Jasonchester,75478,February,2014,L0142
P389,South Sarah,57397,March,2021,L0805
P390,Riggsfurt,82109,July,2024,L0701
P391,North Emmatown,74443,November,2025,L0534
P392,Tapiatown,28981,February,2012,L0833
P393,Lake Melvinburgh,54017,December,2025,L0360
P394,North Tammy,19281,January,2019,L0579
P395,Lake Robertberg,7041,October,2017,L0371
P396,Brianfort,15006,January,2021,L0045
P397,Pettyborough,68327,May,2021,L0600
P398,Taylorchester,23996,March,2019,L0836
P399,Port Tinamouth,22486,June,2017,L0685
P400,Lake John,97798,September,2023,L0347
P401,Mullinschester,45389,May,2017,L0437
P402,Cassandrabury,35236,October,2016,L0064
P403,West Jamesfurt,63968,January,2011,L0908
P404,Williamton,50920,January,2015,L0962
P405,North Melissaberg,76530,May,2023,L0564
P406,East George,26375,July,2021,L0138
P407,New Robertoville,39283,April,2020,L0496
P408,Port Gina,68351,November,2014,L0631
P409,Johntown,57257,January,2011,L0287
P410,Johnstonfort,81035,April,2023,L0286
P411,New Kylestad,77615,August,2021,L0477
P412,Solomonchester,14676,September,2013,L0749
P413,South Daniel,49120,September,2023,L0765
P414,West Ronald,34513,September,2010,L0938
P415,Sarahberg,17348,January,2023,L0728
P416,Port Elizabeth,9508,April,2023,L0628
P417,Jasonside,80227,July,2015,L0269
P418,Port Kelly,65892,May,2016,L0652
P419,Port Jamie,4247,June,2020,L0638
P420,South Evanberg,30741,January,2012,L0771
P421,Kennethport,50282,October,2016,L0313
P422,South Sarafurt,40946,August,2020,L0804
P423,South Amyborough,87207,October,2025,L0753
P424,West Brianna,23514,July,2010,L0890
P425,Codyton,60509,October,2019,L0077
P426,Lake Nathan,64586,November,2014,L0363
P427,Jamieton,95724,January,2016,L0265
P428,West Christopherside,58410,November,2022,L0894
P429,Georgeburgh,1938,October,2025,L0208
P430,Darleneland,65949,July,2020,L0095
P431,Coleborough,76835,March,2011,L0078
P432,East Leah,19814,September,2012,L0156
P433,West Brendaborough,60905,May,2010,L0889
P434,Wrightstad,26682,May,2020,L0970
P435,East Alexanderburgh,61314,March,2017,L0121
P436,South Johnhaven,99311,September,2019,L0783
P437,Jennifermouth,49804,November,2017,L0273
P438,Munozland,74894,August,2014,L0438
P439,Adambury,7186,August,2023,L0001
P440,Timothyburgh,82518,October,2018,L0848
P441,South Scott,16426,September,2025,L0806
P442,East Jason,23247,November,2024,L0141
P443,West Sheilabury,1263,May,2012,L0944
P444,North Dana,62551,January,2024,L0529
P445,North Melissaborough,47889,December,2022,L0565
P446,Richardsonland,71390,February,2020,L0700
P447,Henryborough,27262,February,2022,L0238
P448,Hallbury,61445,June,2010,L0226
P449,Dixonton,35427,August,2013,L0109
P450,North Kevinfort,74074,August,2018,L0558
P451,Wattsmouth,63832,September,2018,L0878
P452,East Brittany,65964,July,2023,L0130
P453,Woodardfort,6262,July,2018,L0964
P454,South Joelland,72302,December,2010,L0781
P455,Williamsmouth,33068,January,2010,L0961
P456,Lake Rebecca,44508,June,2010,L0368
P457,East Veronicaview,1241,September,2011,L0182
P458,Jonesview,15254,March,2018,L0291
P459,Jamesport,31778,August,2015,L0259
P460,Bruceshire,39222,December,2020,L0054
P461,Phillipsland,61669,January,2025,L0602
P462,Brandonmouth,21836,July,2023,L0038
P463,Gibbsborough,18367,May,2015,L0209
P464,New Amy,53985,October,2010,L0447
P465,Port Scott,28897,December,2014,L0680
P466,Lake Shellyborough,28563,January,2020,L0375
P467,Lake Laura,91752,April,2011,L0352
P468,East James,57880,September,2012,L0140
P469,Johnsonfurt,1385,January,2011,L0282
P470,Seanshire,85935,September,2021,L0737
P471,West Kristin,15900,May,2021,L0922
P472,Lake Michaelborough,62046,January,2014,L0362
P473,West Erikamouth,85523,July,2016,L0903
P474,Tranview,7284,March,2024,L0856
P475,Hubbardburgh,4976,May,2018,L0249
P476,Spencerchester,79266,April,2019,L0818
P477,Jamesfort,75351,June,2020,L0257
P478,Brandybury,6873,September,2016,L0039
P479,Ericside,4907,November,2022,L0190
P480,North Beth,37339,October,2022,L0525
P481,South Jason,62400,June,2017,L0777
P482,Christopherfort,57958,September,2024,L0072
P483,Greenshire,12166,April,2011,L0221
P484,Mitchellfurt,92339,December,2013,L0429
P485,Brookefurt,69354,March,2010,L0050
P486,Mcguireland,55855,September,2013,L0417
P487,Port Kimberly,71370,March,2024,L0653
P488,Tapiaberg,25917,July,2018,L0832
P489,South Dawnshire,26738,November,2020,L0766
P490,North Kelseymouth,49046,July,2020,L0556
P491,Lake Douglas,52302,November,2021,L0336
P492,East Stevenburgh,9640,May,2018,L0177
P493,Lake Jessicaview,48401,May,2024,L0346
P494,West Staceychester,84080,July,2018,L0948
P495,Jamesbury,40555,October,2022,L0256
P496,South Joefort,19915,August,2010,L0780
P497,Gordonshire,53143,May,2012,L0218
P498,South Denisefurt,46251,May,2020,L0767
P499,East Brian,10416,January,2011,L0129
